,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
0,"Friday August 16, 2024",La Liga ,1,f25da7fb,Celta Vigo,Claudio Giráldez,3-4-3,2,0.8,1.6,1,Alavés,Luis García,4-2-3-1,8d6fd021,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
1,"Friday August 16, 2024",La Liga ,1,0049d422,Las Palmas,Luis Carrión,4-2-3-1,2,1.4,1.8,2,Sevilla,García Pimienta,4-2-3-1,ad2be733,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
2,"Friday August 23, 2024",La Liga ,2,f25da7fb,Celta Vigo,Claudio Giráldez,3-4-3,3,1.3,0.9,1,Valencia,Rubén Baraja,4-4-2,dcc91a7b,W,1.0,3,W,1.0,3,2.0,0.8,1.0,1.6,L,17.0,0,,12.0,0,,,,
3,"Friday August 23, 2024",La Liga ,2,ad2be733,Sevilla,García Pimienta,4-3-3,1,1.0,0.9,2,Villarreal,Marcelino,4-4-2,2a8183b3,D,5.0,-2,,16.0,-3,,,,,D,5.0,1,,1.0,3,,,,
4,"Friday November 1, 2024",La Liga ,12,8d6fd021,Alavés,Luis García,4-2-3-1,1,1.1,0.5,0,Mallorca,Jagoba Arrasate,4-2-3-1,2aa12281,LLLLL,15.0,-5,WLL,9.0,1,1.3333333333333333,0.7666666666666666,2.3333333333333335,1.8666666666666665,WWLWD,5.0,-5,WWL,5.0,-2,1.6666666666666667,1.6000000000000003,1.3333333333333333,1.0333333333333334
5,"Friday November 8, 2024",La Liga ,13,98e8af82,Rayo Vallecano,Iñigo Pérez,4-4-2,1,2.4,1.1,3,Las Palmas,Diego Martínez ,4-3-3,0049d422,DWLWL,9.0,2,DWL,15.0,-5,1.0,1.7333333333333334,1.3333333333333333,0.9666666666666668,LLWWL,18.0,3,LWL,10.0,6,1.3333333333333333,0.7000000000000001,2.3333333333333335,2.0
6,"Friday October 18, 2024",La Liga ,10,8d6fd021,Alavés,Luis García,4-2-3-1,2,0.5,2.4,3,Valladolid,Paulo Pezzolano,4-4-2,17859612,LWLLL,13.0,-5,WWL,9.0,1,1.3333333333333333,1.2666666666666666,1.3333333333333333,1.3,LDLLL,19.0,-4,LLL,16.0,0,0.6666666666666666,0.5666666666666667,4.0,2.8666666666666667
7,"Friday October 25, 2024",La Liga ,11,a8661628,Espanyol,Manolo González,4-4-2,0,1.2,0.8,2,Sevilla,García Pimienta,4-2-3-1,ad2be733,LLLWL,14.0,4,WLW,12.0,0,2.0,0.9666666666666668,1.6666666666666667,1.7,LWDWL,11.0,-3,LDL,10.0,3,1.0,0.8666666666666667,2.6666666666666665,2.3000000000000003
8,"Friday October 4, 2024",La Liga ,9,7c6f2c78,Leganés,Borja Jiménez,4-2-3-1,0,0.8,0.5,0,Valencia,Rubén Baraja,5-4-1,dcc91a7b,LLDLD,15.0,3,WLL,9.0,-2,0.6666666666666666,0.9,1.3333333333333333,1.0666666666666667,DLWDL,18.0,-2,LLL,18.0,2,0.0,0.3333333333333333,2.3333333333333335,2.6333333333333333
9,"Friday September 13, 2024",La Liga ,5,fc536746,Real Betis,Manuel Pellegrini,4-2-3-1,2,2.1,0.1,0,Leganés,Borja Jiménez,4-2-3-1,7c6f2c78,DDWL,9.0,-1,DW,6.0,0,1.5,2.0,1.0,1.1,DWDL,9.0,2,DD,10.0,3,0.5,0.6,0.5,1.4
10,"Friday September 20, 2024",La Liga ,6,8d6fd021,Alavés,Luis García,4-2-3-1,2,1.1,0.5,1,Sevilla,García Pimienta,4-3-3,ad2be733,LDWWL,7.0,-5,DW,13.0,1,1.0,1.1,0.0,1.1,DLDLW,13.0,-4,DD,13.0,0,1.0,1.25,1.0,1.15
11,"Friday September 27, 2024",La Liga ,8,17859612,Valladolid,Paulo Pezzolano,4-3-3,1,1.2,2.2,2,Mallorca,Jagoba Arrasate,4-4-2,2aa12281,DLLDL,16.0,-1,WDD,18.0,-3,0.3333333333333333,0.9666666666666668,0.0,0.7666666666666666,DWLWW,6.0,-3,LWW,5.0,-2,1.0,0.8666666666666667,0.6666666666666666,0.6333333333333333
