,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
16,"Monday November 4, 2024",Serie A ,11,eab4234c,Parma,Fabio Pecchia,4-3-3,0,1.1,1.4,1,Genoa,Alberto Gilardino,3-5-2,658bf2de,LDDDD,13.0,-2,LLD,17.0,-2,1.6666666666666667,1.6333333333333335,2.3333333333333335,1.7,LLDLL,20.0,-4,LLL,12.0,0,0.3333333333333333,0.5,3.3333333333333335,2.466666666666667
17,"Monday October 21, 2024",Serie A ,8,0e72edf2,Hellas Verona,Paolo Zanetti,4-4-2,0,0.9,1.4,3,Monza,Alessandro Nesta,3-4-3,21680aa4,WLLLW,12.0,2,LLW,9.0,3,1.3333333333333333,1.0999999999999999,2.3333333333333335,1.4333333333333333,DDLLD,19.0,3,DDL,13.0,2,0.6666666666666666,0.3,1.3333333333333333,1.2
18,"Monday September 16, 2024",Serie A ,4,7213da33,Lazio,Marco Baroni,4-2-3-1,2,1.2,0.8,1,Hellas Verona,Paolo Zanetti,3-4-3,0e72edf2,WLD,8.0,-5,WD,2.0,-2,2.5,2.25,1.5,0.95,WLW,5.0,2,W,10.0,2,2.0,1.5,0.0,1.5
19,"Monday September 16, 2024",Serie A ,4,eab4234c,Parma,Fabio Pecchia,4-2-3-1,2,0.8,2.5,3,Udinese,Kosta Runjaić,5-3-2,04eea015,DWL,8.0,1,DW,11.0,1,1.5,1.7,1.0,1.2999999999999998,DWW,1.0,7,D,5.0,1,1.0,0.9,1.0,3.2
20,"Monday September 30, 2024",Serie A ,6,eab4234c,Parma,Fabio Pecchia,4-2-3-1,2,2.4,2.4,3,Cagliari,Davide Nicola,3-4-1-2,c4260e09,DWLLD,14.0,-1,DWL,15.0,-2,1.6666666666666667,1.4000000000000001,1.6666666666666667,1.7,DDLLL,20.0,-7,L,13.0,0,0.0,1.8,1.0,1.7
21,"Saturday August 17, 2024",Serie A ,1,dc56fe14,Milan,Paulo Fonseca,4-2-3-1,2,2.1,1.0,2,Torino,Paolo Vanoli,3-5-2,105360fe,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
22,"Saturday August 17, 2024",Serie A ,1,658bf2de,Genoa,Alberto Gilardino,3-5-2,2,2.1,1.9,2,Internazionale,Simone Inzaghi,3-5-2,d609edc0,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
23,"Saturday August 17, 2024",Serie A ,1,a3d88bd8,Empoli,Roberto D'Aversa,3-4-3,0,0.5,0.3,0,Monza,Alessandro Nesta,3-4-3,21680aa4,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
24,"Saturday August 17, 2024",Serie A ,1,eab4234c,Parma,Fabio Pecchia,4-2-3-1,1,1.7,0.7,1,Fiorentina,Raffaele Palladino,3-4-3,421387cf,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
25,"Saturday August 24, 2024",Serie A ,2,21680aa4,Monza,Alessandro Nesta,3-4-3,0,0.4,0.7,1,Genoa,Alberto Gilardino,3-5-2,658bf2de,D,5.0,1,,17.0,0,,,,,D,5.0,-2,,1.0,0,,,,
