,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
0,"Friday April 12, 2024",Serie A ,32,7213da33,Lazio,Igor Tudor,3-4-3,4,1.9,0.6,1,Salernitana,Stefano Colantuono,3-4-3,c5577084,LLWWL,8.0,-4,LLW,8.0,-6,0.6666666666666666,1.5333333333333334,1.0,0.9,DLLLD,20.0,8,DLL,20.0,6,1.0,0.8666666666666667,2.6666666666666665,2.2333333333333334
1,"Friday April 19, 2024",Serie A ,33,c4260e09,Cagliari,Claudio Ranieri,3-4-3,2,2.2,0.7,2,Juventus,Massimiliano Allegri,3-5-2,e0652b02,WLDWD,14.0,1,WDW,11.0,-5,2.3333333333333335,1.5333333333333332,1.3333333333333333,0.9333333333333332,DDLWD,3.0,-8,LLD,3.0,0,0.3333333333333333,1.0999999999999999,1.0,1.2666666666666668
2,"Friday April 19, 2024",Serie A ,33,658bf2de,Genoa,Alberto Gilardino,3-5-2,0,0.5,1.0,1,Lazio,Igor Tudor,3-4-3,7213da33,LDDWD,12.0,-1,WLD,10.0,3,1.6666666666666667,1.6333333333333335,1.3333333333333333,0.9333333333333332,LWWLW,7.0,-4,LWL,6.0,5,1.3333333333333333,1.2,1.6666666666666667,1.7666666666666666
3,"Friday April 26, 2024",Serie A ,34,6a7ad59d,Frosinone,Eusebio Di Francesco,3-4-1-2,3,1.7,1.4,0,Salernitana,Stefano Colantuono,5-3-2,c5577084,LDDDD,17.0,-1,DLD,11.0,7,1.0,1.2666666666666668,1.3333333333333333,2.033333333333333,LLDLL,20.0,8,LLL,20.0,6,1.0,0.7000000000000001,3.6666666666666665,2.2666666666666666
4,"Friday April 5, 2024",Serie A ,31,c5577084,Salernitana,Stefano Colantuono,4-3-3,2,1.2,2.3,2,Sassuolo,Davide Ballardini,4-2-3-1,e2befd26,LDLLL,20.0,7,LLL,20.0,4,0.3333333333333333,1.0,2.0,1.9333333333333333,LLWLD,19.0,0,LLL,18.0,-14,0.0,0.8666666666666667,1.6666666666666667,1.7666666666666666
5,"Friday December 1, 2023",Serie A ,14,21680aa4,Monza,Raffaele Palladino,3-4-3,1,0.7,2.5,2,Juventus,Massimiliano Allegri,3-5-2,e0652b02,LDWDD,9.0,2,WDD,11.0,6,1.6666666666666667,1.4000000000000001,0.6666666666666666,0.9,WWWWD,2.0,2,DWW,2.0,-1,0.6666666666666666,0.7666666666666666,0.0,0.7333333333333333
6,"Friday December 15, 2023",Serie A ,16,658bf2de,Genoa,Alberto Gilardino,5-3-2,1,0.8,1.7,1,Juventus,Massimiliano Allegri,3-5-2,e0652b02,LWLDL,14.0,-3,WWD,12.0,0,1.0,1.0333333333333334,0.3333333333333333,0.5333333333333333,WWDWW,2.0,5,WWW,3.0,-1,1.3333333333333333,1.5333333333333332,0.3333333333333333,0.5666666666666667
7,"Friday December 22, 2023",Serie A ,17,a3d88bd8,Empoli,Aurelio Andreazzoli,4-3-3,0,0.8,2.3,2,Lazio,Maurizio Sarri,4-3-3,7213da33,WLDDL,18.0,-6,LLD,18.0,-9,1.3333333333333333,1.0333333333333332,2.6666666666666665,1.5666666666666667,DLWDL,10.0,-5,LLD,6.0,3,0.6666666666666666,1.1666666666666667,1.3333333333333333,1.0999999999999999
8,"Friday December 22, 2023",Serie A ,17,e2befd26,Sassuolo,Alessio Dionisi,4-2-3-1,1,1.4,1.6,2,Genoa,Alberto Gilardino,3-4-1-2,658bf2de,DWLLD,14.0,-2,DDL,17.0,8,1.3333333333333333,1.5333333333333332,1.6666666666666667,1.3666666666666665,WLDLD,14.0,-2,LLL,11.0,-2,0.6666666666666666,1.2333333333333334,1.6666666666666667,0.6333333333333333
9,"Friday December 22, 2023",Serie A ,17,21680aa4,Monza,Raffaele Palladino,5-3-2,0,0.7,2.0,1,Fiorentina,Vincenzo Italiano,4-2-3-1,421387cf,DDLWL,10.0,5,DLW,10.0,6,1.0,0.6666666666666666,1.0,1.6333333333333335,WLWDW,5.0,1,LLD,9.0,-1,0.3333333333333333,1.2333333333333334,1.0,1.4666666666666668
