,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
0,"Friday August 23, 2024",Fußball-Bundesliga ,1,32f3ee20,Mönchengladbach,Gerardo Seoane,4-2-3-1,2,1.6,2.7,3,Bayer Leverkusen,Xabi Alonso,3-4-3,c7a9f859,,1.0,0,,1.0,0,,,,,,1.0,0,,1.0,0,,,,
1,"Friday August 30, 2024",Fußball-Bundesliga ,2,7a41008f,Union Berlin,Bo Svensson,3-4-3,1,1.1,0.5,0,St. Pauli,Alexander Blessin,3-1-4-2,54864664,D,8.0,1,,1.0,0,,,,,L,12.0,-3,,11.0,0,,,,
2,"Friday November 1, 2024",Fußball-Bundesliga ,9,c7a9f859,Bayer Leverkusen,Xabi Alonso,3-4-3,0,2.2,0.3,0,Stuttgart,Sebastian Hoeneß,4-4-2,598bc722,WDDWD,3.0,-3,WDW,9.0,-7,2.6666666666666665,2.6,2.0,1.4000000000000001,WDDLW,8.0,-6,WDL,11.0,-1,1.6666666666666667,1.5,2.3333333333333335,1.9666666666666668
3,"Friday November 8, 2024",Fußball-Bundesliga ,10,7a41008f,Union Berlin,Bo Svensson,3-4-3,0,0.7,1.7,0,Freiburg,Julian Schuster,4-2-3-1,a486e511,LWWDL,7.0,6,WWD,2.0,2,1.6666666666666667,1.3666666666666665,1.0,0.8666666666666667,LWWLD,4.0,-3,WWL,8.0,0,1.6666666666666667,1.3666666666666665,1.0,1.1666666666666667
4,"Friday October 18, 2024",Fußball-Bundesliga ,7,add600ae,Dortmund,Nuri Şahin,4-2-3-1,2,2.6,0.6,1,St. Pauli,Alexander Blessin,3-4-3,54864664,DWLWL,7.0,-2,WWW,1.0,0,3.3333333333333335,2.5,1.3333333333333333,1.5,LLDWL,15.0,-2,LLW,9.0,3,1.3333333333333333,0.7000000000000001,1.3333333333333333,1.6666666666666667
5,"Friday October 25, 2024",Fußball-Bundesliga ,8,a224b06a,Mainz 05,Bo Henriksen,3-4-3,1,1.7,0.7,1,Mönchengladbach,Gerardo Seoane,4-2-3-1,32f3ee20,LWLWL,12.0,2,LLL,12.0,-4,0.3333333333333333,0.7666666666666666,2.0,1.5666666666666667,LLWLW,9.0,0,WLL,11.0,2,1.0,1.7,1.3333333333333333,1.5666666666666667
6,"Friday October 4, 2024",Fußball-Bundesliga ,6,0cdc4311,Augsburg,Jess Thorup,3-5-2,2,1.3,0.5,1,Mönchengladbach,Gerardo Seoane,4-2-3-1,32f3ee20,DLWLL,13.0,-2,DWL,4.0,1,2.3333333333333335,2.033333333333333,2.0,0.9666666666666667,LWLLW,11.0,0,WL,11.0,2,1.0,2.3,1.0,1.7000000000000002
7,"Friday September 13, 2024",Fußball-Bundesliga ,3,add600ae,Dortmund,Nuri Şahin,4-2-3-1,4,2.6,1.8,2,Heidenheim,Frank Schmidt,4-2-3-1,18d9d2a7,WD,4.0,-2,W,1.0,0,2.0,1.7,0.0,1.4,WW,1.0,3,W,6.0,3,2.0,1.1,0.0,1.2
8,"Friday September 20, 2024",Fußball-Bundesliga ,4,0cdc4311,Augsburg,Jess Thorup,3-4-3,2,2.4,1.0,3,Mainz 05,Bo Henriksen,3-4-3,a224b06a,DLW,10.0,1,DW,8.0,-2,2.5,1.85,1.5,0.95,DDL,15.0,-1,D,2.0,4,3.0,2.3,3.0,3.8
9,"Friday September 27, 2024",Fußball-Bundesliga ,5,add600ae,Dortmund,Nuri Şahin,4-2-3-1,4,3.2,1.3,2,Bochum,Peter Zeidler,4-1-2-1-2,b42c6323,WDWL,7.0,-2,WW,1.0,0,3.0,2.15,1.0,1.6,LLLD,16.0,1,LL,18.0,-3,0.5,0.95,1.5,2.5
